name,3_grams_1,3_grams_2,3_grams_3
Tian Pan,Update iip-7.md,iip-7.md,
Oscar Esteban,Apply suggestions from,suggestions from code,"from code review

Co-Authored-By:"
Benjamin James,JSON API takes,API takes multiple,takes multiple requests
Pooya Davoodi,Link to relevant,to relevant ops,relevant ops for
Asif Ali Rizvan,removed useless files,useless files,files
bors,Updating crate `protobuf-codegen#2.10.0`,crate `protobuf-codegen#2.10.0`,`protobuf-codegen#2.10.0`
Taylor Kraft,Automatically backed up,backed up by,up by Learn
Yousef Akbar,added mic mute,"mic mute functionality;
","mute functionality;
 -"
David Cohen,Merge pull request,pull request #20,request #20 from
David Cohen,Merge pull request,pull request #20,request #20 from
Steve Holmes,"Hide block display,","block display, adjust","display, adjust other"
Rika,maintainers: add rika,add rika,rika
Rika,get_iplayer: 2.99 ->,2.99 -> 3.24,-> 3.24
blensink192,Update Posts “top-10-albums-of-2010”,Posts “top-10-albums-of-2010”,“top-10-albums-of-2010”
Brokalys bot,Monthly price per,price per sqm,per sqm data
MichaelRomero,fixed authActions with,authActions with linter,with linter and
Allison Chou,"Implemented fix, to-do:","fix, to-do: Fix",to-do: Fix tests
Allison Chou,Fixed tests +,tests + refactoring,+ refactoring
Allison Chou,Changes based on,based on feedback,on feedback
Allison Chou,Merge pull request,pull request #40651,request #40651 from
asdfghy6,'',,
Kyle E. Mitchell,,,
Michael Voříšek,fix birth date,birth date for,date for travis
olesgedz,rainbow triangle,triangle,
wessilfie,rebuild pages,pages,
Christian Tietz,games-engines/devilutionx: cmake-utils ->,cmake-utils -> cmake,"-> cmake eclass

Package-Manager:"
Christian Tietz,games-engines/rbdoom3bfg: cmake-utils >,cmake-utils > cmake,"> cmake eclass

Package-Manager:"
Christian Tietz,*/*: Update copyright,Update copyright header,copyright header
Danilo Margarido,Move that to,that to the,to the next
sourceconnect-tests,e2e test 2020-01-01T00:40:54.805480,test 2020-01-01T00:40:54.805480,2020-01-01T00:40:54.805480
=,asd,,
lonefintech,python update,update,
chosim-dev,bossDB,,
MatthewTheGlutton,smg/lib: add new,add new features,new features in
Augusto Martinez,Update README.md,README.md,
asdfghy6,'',,
jhonnySAN,agregando jwt para,jwt para el,para el login
Eduardo Aureliano,...,,
Pugabyte,Add MatchTasks,MatchTasks,
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-11-30","listy.

| 2019-11-30 |"
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-41
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-12-13","listy.

| 2019-12-13 |"
WayneMRP,Dopisanie do listy,do listy nowego,"listy nowego powodu.

|"
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-12-20","listy.

| 2019-12-20 |"
WayneMRP,Wpis na listę,na listę Sorun_Bouychau,"listę Sorun_Bouychau 

|"
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-12-30","listy.

| 2019-12-30 |"
WayneMRP,Dodanie do listy,"do listy Frank_Statham

|","listy Frank_Statham

| 2019-12-31"
1K2a3m4i,Merge pull request,pull request #64,request #64 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-46
1K2a3m4i,Merge pull request,pull request #69,request #69 from
1K2a3m4i,Merge pull request,pull request #70,request #70 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-48
1K2a3m4i,Merge pull request,pull request #71,request #71 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-49
1K2a3m4i,Merge pull request,pull request #72,request #72 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-51
1K2a3m4i,Merge pull request,pull request #74,request #74 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-52
1K2a3m4i,Merge pull request,pull request #75,request #75 from
Yang Zhang,Remove generated files.,generated files.,files.
Townsend Porcher,Add files,files,
Keyi Zhang,test windows build,windows build [skip,build [skip travis]
Mike Ludkovski,converted plt.2d.surf to,plt.2d.surf to ggplot,to ggplot raster
Mike Ludkovski,Merge branch 'master',branch 'master' of,'master' of https://github.com/mludkov/mlOSP
jv80,Delete aboutme.js,aboutme.js,
klawir,"GUI revision 1

To","revision 1

To main","1

To main scene"
klawir,"Popup revision 1

The","revision 1

The pref","1

The pref has"
klawir,"Text revision 1

A","revision 1

A pref","1

A pref has"
klawir,"Sound revision 1

The","revision 1

The pref","1

The pref has"
klawir,"GUI revision 2

Cosmetic","revision 2

Cosmetic fixes","2

Cosmetic fixes"
RachidRezzik,Delete Untitled.ipynb,Untitled.ipynb,
Joel Chen,0.2.40,,
Robin Unger,Create post model,post model,model
Robin Unger,Post model tests,model tests,tests
Robin Unger,Add faker gem,faker gem and,gem and seed
Robin Unger,Display posts on,posts on user,on user pages
Robin Unger,Add user profile,user profile picture,profile picture to
Robin Unger,Users can create,can create posts,create posts
Robin Unger,Update post form,post form style,form style
Robin Unger,Add like model,like model,model
Robin Unger,Add likes controller,likes controller,controller
Robin Unger,complete likes functionality,likes functionality,functionality
Robin Unger,Write for post,for post like,post like counts
Robin Unger,Users can like,can like posts,like posts
Robin Unger,Update post link,post link button,link button style
Robin Unger,Add like/unlike button,like/unlike button to,button to posts
Robin Unger,Update likes to,likes to respond,to respond to
Robin Unger,Add a link,a link to,link to view
Robin Unger,Posts preserve line,preserve line breaks,line breaks
Robin Unger,Truncate posts when,posts when viewed,when viewed on
Duy Thanh,update code,code,
2ndClemens,a key,key,
Omer Faruk Gul,remove CNAME,CNAME,
Omer Faruk Gul,Merge branch 'master',branch 'master' of,'master' of https://github.com/omergul/omergul.github.io
Peter Mitrano,"buttons work

weird UI","work

weird UI include",UI include setup
heng.zhang,:green_heart: 调整生成配置,调整生成配置,
ANGELLOPARR,life cycle hooks,cycle hooks,hooks
Danilo Margarido,Condense the RUNs,the RUNs into,RUNs into a
h5p9sl,Finish snowflakes,snowflakes,
h5p9sl,Privatize draw_snow function,draw_snow function,function
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:41:42
parkerziegler,Update example READMEs.,example READMEs.,READMEs.
Charles Iliya Krempeaux,story telling,telling,
wigforss,[maven-release-plugin] prepare release,prepare release java-8-base-0.174,release java-8-base-0.174
phiDel Bak,버전업 3.9.1.2 (POE,3.9.1.2 (POE 3.9.1b),(POE 3.9.1b)
JooChan,added TODO and,TODO and added,and added projects
ㄗㄠˋ ㄑㄧˊ,deploy 2020-01-01T00:41:29+0000,2020-01-01T00:41:29+0000,
David Wilemski,new-style format string,format string for,string for feed
David Wilemski,procfs draft,draft,
David Wilemski,publish procfs,procfs,
David Wilemski,2019 books post,books post draft,post draft
David Wilemski,publish 2019 books,2019 books post,books post
WayneMRP,Dodanie do listy,"do listy Patrick_Shaw

|","listy Patrick_Shaw

| 2019-12-31"
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-53
1K2a3m4i,Merge pull request,pull request #76,request #76 from
JulVoe,Update intrinsics.cpp,intrinsics.cpp,
Renovate Bot,Update storybook monorepo,storybook monorepo to,monorepo to v5.2.8
Renovate Bot,Update dependency eslint,dependency eslint to,eslint to v6.8.0
Chris Roat,Remove extraneous file.,extraneous file.,file.
Guangde Wang,added leetCode 740:,leetCode 740: delete,740: delete and
gerbs66,Update getagenda.php,getagenda.php,
Quinton Pryce,Create README.md,README.md,
hwong0305,added login link,login link to,link to register
jv80,Delete contactme.js,contactme.js,
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
deathbybandaid,Update lists Wed,lists Wed Jan,Wed Jan 1
hunterko,v56,,
87591,log,,
Augusto Martinez,Update README.md,README.md,
87591,log,,
jinghuijuan6,log,,
jinghuijuan4,log,,
Jas,Progress on collada,on collada importer,collada importer
87591,log,,
ke0m,Scripts for creation,for creation and,creation and QC
GitClock,update time,time,
hwx438865,log,,
chosim-dev,bossDB,,
asdfghy6,'',,
Frederick DenBleyker,Automatically backed up,backed up by,up by Learn
A-ee,Improve the interpreter,the interpreter,interpreter
A-ee,Merge branch 'master',branch 'master' into,'master' into master
Vanessa Sochat,updating membership count,membership count data,count data to
Vanessa Sochat,ensure that we,that we use,we use the
mawork1,this is most,is most u,most u that
jinghuijuan6,log,,
aaiden Nicolas Witten,Automatically backed up,backed up by,up by Learn
mopp,update,,
RhXKGxbwQHmTREDU,62565685,,
87591,log,,
hou1234,log,,
Ian White,Sticky section headers,section headers,headers
nodemcu-custom-build,Prepare my build.config,my build.config for,build.config for custom
yossy222vrc,Update images at,images at 2020-01-01,at 2020-01-01 09:41:41.
Michael Reilly,Update development_projects.py,development_projects.py,
jinghuijuan,log,,
jinghuijuan10,log,,
jinghuijuan8,log,,
hou1234,log,,
jinghuijuan5,log,,
jinghuijuan6,log,,
Fatemeh Kiaie,Add files via,files via upload,via upload
Hugo Barrueta,Version Final,Final,
Adam Arling,Update shows,shows,
474151949,log,,
asdfghy6,'',,
houbinbin87591,log,,
houbinbin87591,log,,
jinghuijuan7,log,,
Qiong Zhou Huang,wow everything works,everything works im,works im so
DawidJozwiak,Update KalkulatorrApplication.java,KalkulatorrApplication.java,
houbinbin87591,log,,
jinghuijuan4,log,,
hwx438865,log,,
tronjsdev,Update project: remove,project: remove rebass,remove rebass
yangcaicai,log,,
houbinbin87591,log,,
jinghuijuan4,log,,
jv80,Delete education.js,education.js,
raptor_MVK,Add 9 tasks,9 tasks,tasks
SockPuppetry,Travis CI build,CI build 187065,build 187065
xiali,init,,
xiali,init,,
xiali,init,,
xiali,init,,
Rommel Haynes,Automatically backed up,backed up by,up by Learn
Rabia Alhaffar,Fixed Errors In,Errors In Markdown,In Markdown Code
Renovate Bot,Update storybook monorepo,storybook monorepo to,monorepo to v5.2.8
Renovate Bot,Update dependency nuxt,dependency nuxt to,nuxt to v2.11.0
ceorron,more optimization,optimization,
Danilo Margarido,Forgot the semicolons,the semicolons,semicolons
Eric Liu,chore(storybook): set 9090,set 9090 as,9090 as default
Eric Liu,fix(tooltip): support triggerText,support triggerText slot,triggerText slot
Eric Liu,refactor(tooltip): rename showIcon,"rename showIcon prop

Remove","showIcon prop

Remove triggerClass"
Eric Liu,fix(expandable-tile): use css,use css to,css to ensure
Eric Liu,refactor(tile-group): change defaultSelected,change defaultSelected to,defaultSelected to selected
Eric Liu,"refactor(selectable-tile): dispatch select,","dispatch select, unselect","select, unselect events

Remove"
Eric Liu,"refactor(expandable-tile): include above,","include above, below","above, below the"
Eric Liu,refactor(structured-list): make StructuredListWrapper,make StructuredListWrapper default,StructuredListWrapper default component
Eric Liu,refactor(slider): remove formatLabel,remove formatLabel prop,formatLabel prop
Eric Liu,fix(select): subscribe to,subscribe to store,to store
Eric Liu,fix(time-picker-select): change select,change select to,select to selectValue
Eric Liu,refactor(radio-button-group): change defaultSelected,change defaultSelected to,defaultSelected to selected
Eric Liu,refactor(components): alphabetize exported,alphabetize exported props,exported props for
Eric Liu,Merge pull request,pull request #95,request #95 from
Travis-CI,Deployed to Github,to Github Pages,Github Pages
toppk,-clean up sqlite,"up sqlite schema
-add","sqlite schema
-add register"
toppk,-i'm a pylint,a pylint slave,pylint slave now
toppk,first drives db,drives db,db
toppk,escape partition so,partition so it,so it works
toppk,update drive mapping,drive mapping,mapping
toppk,update database,database,
toppk,parted tweaks inspired,tweaks inspired by,inspired by a
toppk,updated drives,drives,
toppk,updated map,map,
toppk,updated plan,plan,
toppk,swapped cables so,cables so they,so they are
toppk,new icydock,icydock,
toppk,updates,,
toppk,retire PK1334PCJZTSPS,PK1334PCJZTSPS,
toppk,- new 16gb,"new 16gb disk
-","16gb disk
- swapped"
toppk,disk churn,churn,
toppk,old changes (backups),changes (backups),(backups)
toppk,stuff lying around,lying around and,around and initial
toppk,linting,,
toppk,flake8 fixes,fixes,
Cody Yu,"Update include/tvm/relay/attrs/annotation.h

Co-Authored-By: 雾雨魔理沙","include/tvm/relay/attrs/annotation.h

Co-Authored-By: 雾雨魔理沙 <lolisa@marisa.moe>",雾雨魔理沙 <lolisa@marisa.moe>
emrahizci,frontend homepage url,homepage url,url
emrahizci,Merge branch 'master',branch 'master' of,'master' of https://github.com/zulala/notes
Eric Crooks,[staging] change directories,change directories,directories
deno-drash-docs-ci,Merge branch 'master',branch 'master' of,'master' of https://github.com/drashland/deno-drash-docs
deno-drash-docs-ci,staging build (Wed,build (Wed Jan,(Wed Jan 
Menahem Ashurov,Update README.md,README.md,
Zayyed Mansoor,Update README.md,README.md,
Colson Scott,change margin on,margin on #jm-logo,on #jm-logo
Jesse Millar,Conferting ints to,ints to strings,"to strings properly

Signed-off-by:"
JonoCode9374,Update run.py,run.py,
A-ee,Merge branch 'master',branch 'master' into,'master' into master
A-ee,Merge pull request,pull request #1,request #1 from
bors,Updating crate `protoc-rust#2.10.0`,crate `protoc-rust#2.10.0`,`protoc-rust#2.10.0`
Simon H Moore,Save syncthing output,syncthing output to,output to log.
Simon H Moore,Merge branch 'master',branch 'master' of,'master' of github.com:simonhughcom/dotfiles
Ying Huang,n,,
emanwern,Start vereinheitlicht und,vereinheitlicht und vereinfacht,und vereinfacht
zachgoll,Add template,template,
James Harrison,Add results for,results for commit,for commit d5fc15846ba477d0d90ec033dce5b8d4328634a1
Peter Eisentraut,Modernize Python exception,Python exception syntax,exception syntax in
Commitfest Bot,[CF 26/2176] FETCH,26/2176] FETCH FIRST,FETCH FIRST clause
Pierre Hunault,Improve performance when,performance when exporting,when exporting Strategic
Michael Dickens,cppunit: update to,"update to 1.15.1

Remove","to 1.15.1

Remove integrated"
Michael Dickens,inspectrum: update to,update to 20191102-d6115cb4,to 20191102-d6115cb4
Michael Dickens,CubicSDR: update to,update to 20191230-45fe1a9f,to 20191230-45fe1a9f
Michael Dickens,py-numpy: update to,update to 1.18.0,to 1.18.0
Fred Wright,py-nose: Add version,Add version 32.,version 32.
Fred Wright,py-cairo: Add versions,Add versions 26,versions 26 32
Fred Wright,py-gobject3: Add versions,Add versions 32,versions 32 33.
Fred Wright,"Adds port py-setuptools29.

This","port py-setuptools29.

This is","py-setuptools29.

This is for"
Fred Wright,Changes py32-nose py-setuptools,py32-nose py-setuptools dependency,py-setuptools dependency to
Fred Wright,"Revert ""python{25,31}: removed""

This","""python{25,31}: removed""

This reverts","removed""

This reverts commit"
Fred Wright,"Revert ""python24{,-doc}: removed""

This","""python24{,-doc}: removed""

This reverts","removed""

This reverts commit"
Fred Wright,"Revert ""remove python23""

This","""remove python23""

This reverts","python23""

This reverts commit"
Fred Wright,"Revert ""lang/python21, lang/python22:""

This","""lang/python21, lang/python22:""

This reverts","lang/python22:""

This reverts commit"
Fred Wright,py-serial: Adds back,"Adds back py34.

TESTED:
py34-serial","back py34.

TESTED:
py34-serial installs."
Metype,Add files via,files via upload,via upload
moezelahi,LAB 3,3,
Enmotus-Dave-Cohen,.,,
